complex_id,apt_name,sigungu,identity_status,join_status,full_pnus
cx_c4df103937ed10e8,"미원1",마포구,SINGLE_PARCEL,PNU_NOT_FOUND,["1144012300104780000"]
cx_c4e18826cc18b00d,"에메랄드104동",관악구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1162010100100410000"]
cx_c4e9b35b31f423ff,"파크프라자",강동구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1174010800104280000"]
cx_c4f2f5347b7067b5,"한신휴플러스(1280-1)",구로구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1153010200112800000"]
cx_c4f95dd88c8c9c3d,"동양엔파트",중랑구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1126010300102080000"]
cx_c4f9abb9a21afa2a,"주영",중랑구,SINGLE_PARCEL,PNU_NOT_FOUND,["1126010500101840000"]
cx_c504f06cc6338de9,"월드101",중랑구,SINGLE_PARCEL,PNU_NOT_FOUND,["1126010500105080000"]
cx_c515fd940f4ed8d8,"우정에쉐르",서초구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1165010800113550000"]
cx_c51c3c2824008cd8,"대경아르체아파트",은평구,SINGLE_PARCEL,PNU_NOT_FOUND,["1138010600100260000"]
cx_c51ff5feb64ddb73,"힐스테이트장승배기역",동작구,NO_PNU,NO_PNU,[]
cx_c522c7825caceaaf,"파크뷰캐슬",강동구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1174010800104680000"]
cx_c53143e806c3482f,"성원1",마포구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1144012300104200000"]
cx_c532ab4a92680c4b,"lg그린빌",은평구,NO_PNU,NO_PNU,[]
cx_c533969764f91aad,"방배홈타운(479-11)",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100104790000"]
cx_c547bf66274105a6,"당산대우",영등포구,SINGLE_PARCEL,PNU_NOT_FOUND,["1156011200100160000"]
cx_c55d56ebaa9ef983,"방배힐2차",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100108080000"]
cx_c56f5fa3b6ec0a89,"동훈타마르(921-18)",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010300109210000"]
cx_c588057f1104b53d,"(745-14)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107450000"]
cx_c5888b71df4831b2,"역삼르비앙1",강남구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1168010100108350000"]
cx_c59035810d8e51e1,"동진신안",노원구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1135010600103640000"]
cx_c599afb190a5126e,"신암",강동구,SINGLE_PARCEL,PNU_NOT_FOUND,["1174010500103730000"]
cx_c59f1dd4dedc146e,"스카이(924-10)",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010300109240000"]
cx_c5b9567fc762c136,"씨제이나인",강동구,SINGLE_PARCEL,PNU_NOT_FOUND,["1174010800101640000"]
cx_c5bbeb187d58d75c,"중앙하이츠",성북구,SINGLE_PARCEL,PNU_NOT_FOUND,["1129013900101100000"]
cx_c5c47661ecff9aa4,"동일4차",서대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1141011100103120000"]
cx_c5cfa6a4efaa5096,"현대한강빌라",강남구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1168010400101060000"]
cx_c5d208cb52bbde8d,"대원",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010200105020000"]
cx_c5e5ea4caadbad2c,"미진주택a동",구로구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1153010800100110000"]
cx_c5e7efe2e9b98083,"장안동공감대(375-11)",동대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1123010600103750000"]
cx_c5eaade59c5b6502,"이지마루오장",중구,SINGLE_PARCEL,PNU_NOT_FOUND,["1114015400102060000"]
cx_c6093337f46b2c8d,"청자",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010100109150000"]
cx_c61ff6fe44e67409,"대호프라자아파트",은평구,SINGLE_PARCEL,PNU_NOT_FOUND,["1138010300106310000"]
cx_c63500203a201924,"임탑(12-1)100동",은평구,SINGLE_PARCEL,PNU_NOT_FOUND,["1138010900100120000"]
cx_c63d2adc381f34f8,"양지빌라트",관악구,SINGLE_PARCEL,PNU_NOT_FOUND,["1162010300106020000"]
cx_c64caf0fce8ac1a8,"신반포10",서초구,NO_PNU,NO_PNU,[]
cx_c671447bb0cebce1,"광남캐스빌(c동)",송파구,NO_PNU,NO_PNU,[]
cx_c67d7b7f63568711,"대훈",은평구,SINGLE_PARCEL,PNU_NOT_FOUND,["1138010400101360000"]
cx_c68ba761b684d6c0,"오투힐",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010300105410000"]
cx_c694734aa5f8a9f7,"방배블레스밸리",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100110190000"]
cx_c696f8223b6b85f1,"송도그린빌b동",서대문구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1141011100103220000"]
cx_c6991b10143ef103,"힐탑아파트3차(894-3)",금천구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1154510200108940000"]
cx_c6a18c02f39aac5c,"삼호1동~3동",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100107700000"]
cx_c6a1d6ae77d36f3d,"마포현대",마포구,SINGLE_PARCEL,PNU_NOT_FOUND,["1144010200101880000"]
cx_c6ae180e6ae4176e,"신부파스카빌",송파구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1171010500100600000"]
cx_c6b3f89c1201563e,"그랜드아파트",광진구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1121510500106360000"]
cx_c6c509eabd54b6cf,"대원(1536-20)",관악구,SINGLE_PARCEL,PNU_NOT_FOUND,["1162010100115360000"]
cx_c6cd0941bd856b94,"보미",노원구,SINGLE_PARCEL,PNU_NOT_FOUND,["1135010500101440000"]
cx_c6d0996dd70ddc31,"신주아파트(101동)",강동구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1174010900103170000"]
cx_c6e3039a2858e343,"몽마르뜨빌(577-4)",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010700105770000"]
cx_c6e3e5cf2f278dc7,"보성제이드",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010100109060000"]
cx_c6ed1e2f43ecc54c,"금강프리빌",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100109400000"]
cx_c70155e67d0afac0,"창동",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010700100200000"]
cx_c71358e2ff1349c6,"효성트럼프",동대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1123010300101340000"]
cx_c7191bbf8e1db376,"형우베스트빌3차",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117013100100270000"]
cx_c7415f58d6322dab,"성원2",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010200107090000"]
cx_c758b51b25519ffd,"래미안도곡카운티",강남구,SINGLE_PARCEL,PNU_NOT_FOUND,["1168011800105380000"]
cx_c75b0e1f4bb350f7,"(748-20)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107480000"]
