complex_id,apt_name,sigungu,coord_status,reb_status,our_pnu_key,our_jibun_addr
cx_836767c24d6d763b,"태능에셈빌",중랑구,NO_MATCH,EXACT_JIBUN_ADDRESS,112601030003140001,"서울 중랑구 중화동 314-1"
cx_8373d9a3b673a097,"하이1(113-5)",중구,NO_MATCH,EXACT_JIBUN_ADDRESS,111401620001130005,"서울 중구 신당동 113-5"
cx_83771b1cf3a21912,"길음뉴타운9단지(래미안)",성북구,NO_MATCH,EXACT_PARCEL,112901340012860000,"서울 성북구 길음동 1286"
cx_837cad7da2537a4c,"송파레미니스",송파구,NO_MATCH,EXACT_PARCEL,117101120006160000,"서울 송파구 오금동 616"
cx_839557fe4f6aa3ae,"한양그린",강동구,NO_MATCH,MULTI_RECORD_SAME_PARCEL,117401070004490000,"서울 강동구 암사동 449"
cx_83a4aac446084ac3,"대림미소나눔",송파구,NO_MATCH,EXACT_JIBUN_ADDRESS,117101080000940009,"서울 송파구 문정동 94-9"
cx_83a4ce2d482ece53,"마일스디오빌",강남구,NO_MATCH,EXACT_JIBUN_ADDRESS,116801080000580002,"서울 강남구 논현동 58-2"
cx_83b5fa915d26fed4,"한솔스위트벨리",강서구,NO_MATCH,EXACT_JIBUN_ADDRESS,115001030004040002,"서울 강서구 화곡동 404-2"
cx_83c51297977c30b4,"디아이빌(331-107)",양천구,NO_MATCH,EXACT_JIBUN_ADDRESS,114701030003310107,"서울 양천구 신월동 331-107"
cx_83cb0e527b696af8,"(20-3)",광진구,NO_MATCH,EXACT_JIBUN_ADDRESS,112151070000200003,"서울 광진구 화양동 20-3"
cx_83cbd76eced9aaa2,"란스미어",중구,NO_MATCH,EXACT_JIBUN_ADDRESS,111401620004040002,"서울 중구 신당동 404-2"
cx_83ced7e188ca489f,"래미안장안2차",동대문구,NO_MATCH,EXACT_JIBUN_ADDRESS,112301060003290003,"서울 동대문구 장안동 329-3"
cx_83d94723b8e107ca,"명진에버그린",강서구,NO_MATCH,MULTI_RECORD_SAME_PARCEL,115001060007160000,"서울 강서구 내발산동 716"
cx_83e74407dd96e540,"광산",서대문구,NO_MATCH,EXACT_JIBUN_ADDRESS,114101110001570068,"서울 서대문구 홍제동 157-68"
cx_83e80e88085969e3,"화곡보람",강서구,NO_MATCH,EXACT_PARCEL,115001030011490000,"서울 강서구 화곡동 1149"
cx_83fd0f8ecbb630a0,"월드캐슬",동대문구,NO_MATCH,EXACT_JIBUN_ADDRESS,112301030011580025,"서울 동대문구 제기동 1158-25"
cx_83ff7cbff0b69b1f,"염창동예성그린캐슬",강서구,NO_MATCH,EXACT_JIBUN_ADDRESS,115001010002420008,"서울 강서구 염창동 242-8"
cx_840accc05e28061c,"라움아파트",관악구,NO_MATCH,EXACT_JIBUN_ADDRESS,116201030006020110,"서울 관악구 남현동 602-110"
cx_8412f59f0b0a50d1,"에덴",구로구,NO_MATCH,EXACT_JIBUN_ADDRESS,115301020007620011,"서울 구로구 구로동 762-11"
cx_84160d9f9e4f70ef,"새울센스빌아파트",노원구,NO_MATCH,EXACT_JIBUN_ADDRESS,113501030005890003,"서울 노원구 공릉동 589-3"
cx_841f50f0a9a5d7c0,"송파현대힐스테이트",송파구,NO_MATCH,EXACT_PARCEL,117101030005110000,"서울 송파구 풍납동 511"
cx_8420f03d69325266,"일성빌라트",종로구,NO_MATCH,EXACT_JIBUN_ADDRESS,111101830001450005,"서울 종로구 평창동 145-5"
cx_8427fa37ae0940a1,"안암",성북구,NO_MATCH,EXACT_JIBUN_ADDRESS,112901240000230003,"서울 성북구 안암동4가 23-3"
cx_843db20e369dcde9,"자선메르시안(162-18)",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801100001620018,"서울 은평구 증산동 162-18"
cx_8440c6a12dc97ba7,"신일유토빌(603-0)",강동구,NO_MATCH,EXACT_PARCEL,117401080006030000,"서울 강동구 성내동 603"
cx_8450ffa20f49ae91,"동대문맨션",종로구,NO_MATCH,EXACT_JIBUN_ADDRESS,111101740005780005,"서울 종로구 창신동 578-5"
cx_84542264f06f1959,"예성그린캐슬",중랑구,NO_MATCH,EXACT_PARCEL,112601050005770000,"서울 중랑구 망우동 577"
cx_84546caa5ee9ea7b,"송학파크팰리스",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801020000830047,"서울 은평구 녹번동 83-47"
cx_845a1894180faba9,"이촌코오롱(a)",용산구,NO_MATCH,EXACT_PARCEL,111701290004120000,"서울 용산구 이촌동 412"
cx_845c7520410efae2,"해피플러스1",은평구,NO_MATCH,EXACT_JIBUN_ADDRESS,113801030004830011,"서울 은평구 불광동 483-11"
cx_8462b3dc82efeb80,"현대13차(208~211동)",강남구,NO_MATCH,EXACT_PARCEL,116801100004480000,"서울 강남구 압구정동 448"
cx_846bab1c4e378315,"문정가락현대1차",송파구,NO_MATCH,EXACT_PARCEL,117101080000030000,"서울 송파구 문정동 3"
cx_84788132c57e1694,"현대그린1",강남구,NO_MATCH,EXACT_PARCEL,116801180009640000,"서울 강남구 도곡동 964"
cx_847ad8cf639a3bee,"강림월드타운",마포구,NO_MATCH,EXACT_JIBUN_ADDRESS,114401260000360029,"서울 마포구 중동 36-29"
cx_847b4771ce00c5f7,"브라운스톤",강남구,NO_MATCH,EXACT_JIBUN_ADDRESS,116801080000430003,"서울 강남구 논현동 43-3"
cx_848db7679f06cf56,"리치힐(976-37)",금천구,NO_MATCH,EXACT_JIBUN_ADDRESS,115451020009760037,"서울 금천구 독산동 976-37"
